Flight Number,Date,Delay (Minutes),Reason for Delay
PK647,2022-01-01 00:00:00.000000000,0,None
PK712,2022-01-01 17:30:48.648648648,11,Weather
PK611,2022-01-02 11:01:37.297297297,53,Crew
PK255,2022-01-03 04:32:25.945945945,13,Crew
PK354,2022-01-03 22:03:14.594594594,36,None
PK270,2022-01-04 15:34:03.243243243,59,Weather
PK827,2022-01-05 09:04:51.891891891,33,None
PK269,2022-01-06 02:35:40.540540540,36,Mechanical Issue
PK863,2022-01-06 20:06:29.189189189,0,None
PK971,2022-01-07 13:37:17.837837837,9,None
PK421,2022-01-08 07:08:06.486486486,80,Weather
PK666,2022-01-09 00:38:55.135135135,24,Weather
PK555,2022-01-09 18:09:43.783783783,86,Weather
PK702,2022-01-10 11:40:32.432432432,0,Mechanical Issue
PK889,2022-01-11 05:11:21.081081081,28,Weather
PK712,2022-01-11 22:42:09.729729729,7,Weather
PK254,2022-01-12 16:12:58.378378378,41,Mechanical Issue
PK988,2022-01-13 09:43:47.027027027,51,Weather
PK448,2022-01-14 03:14:35.675675675,41,Weather
PK550,2022-01-14 20:45:24.324324324,56,Mechanical Issue
PK975,2022-01-15 14:16:12.972972973,20,Weather
PK752,2022-01-16 07:47:01.621621621,13,Mechanical Issue
PK272,2022-01-17 01:17:50.270270270,0,Mechanical Issue
PK109,2022-01-17 18:48:38.918918919,42,Mechanical Issue
PK839,2022-01-18 12:19:27.567567567,26,None
PK364,2022-01-19 05:50:16.216216216,18,Mechanical Issue
PK537,2022-01-19 23:21:04.864864864,13,Mechanical Issue
PK859,2022-01-20 16:51:53.513513513,19,Mechanical Issue
PK346,2022-01-21 10:22:42.162162162,12,None
PK766,2022-01-22 03:53:30.810810810,2,None
PK645,2022-01-22 21:24:19.459459459,28,None
PK598,2022-01-23 14:55:08.108108108,37,Crew
PK228,2022-01-24 08:25:56.756756756,0,Weather
PK771,2022-01-25 01:56:45.405405405,6,Weather
PK700,2022-01-25 19:27:34.054054054,13,Weather
PK704,2022-01-26 12:58:22.702702702,20,None
PK426,2022-01-27 06:29:11.351351351,16,Crew
PK852,2022-01-28 00:00:00.000000000,43,Traffic Control
PK934,2022-01-28 17:30:48.648648648,0,Weather
PK503,2022-01-29 11:01:37.297297297,0,None
PK728,2022-01-30 04:32:25.945945946,27,Weather
PK705,2022-01-30 22:03:14.594594594,0,Weather
PK774,2022-01-31 15:34:03.243243243,51,Mechanical Issue
PK710,2022-02-01 09:04:51.891891892,61,Mechanical Issue
PK724,2022-02-02 02:35:40.540540540,28,Mechanical Issue
PK458,2022-02-02 20:06:29.189189189,0,None
PK702,2022-02-03 13:37:17.837837838,57,Weather
PK957,2022-02-04 07:08:06.486486486,27,Mechanical Issue
PK817,2022-02-05 00:38:55.135135135,0,Mechanical Issue
PK116,2022-02-05 18:09:43.783783784,0,Weather
PK373,2022-02-06 11:40:32.432432432,73,None
PK784,2022-02-07 05:11:21.081081081,67,Traffic Control
PK215,2022-02-07 22:42:09.729729729,0,Traffic Control
PK960,2022-02-08 16:12:58.378378378,0,None
PK792,2022-02-09 09:43:47.027027027,60,Traffic Control
PK190,2022-02-10 03:14:35.675675675,19,Weather
PK181,2022-02-10 20:45:24.324324324,45,Traffic Control
PK423,2022-02-11 14:16:12.972972973,18,Weather
PK213,2022-02-12 07:47:01.621621621,43,Weather
PK868,2022-02-13 01:17:50.270270270,20,Weather
PK157,2022-02-13 18:48:38.918918919,5,Traffic Control
PK253,2022-02-14 12:19:27.567567567,57,Traffic Control
PK976,2022-02-15 05:50:16.216216216,27,Weather
PK503,2022-02-15 23:21:04.864864865,43,Traffic Control
PK727,2022-02-16 16:51:53.513513513,26,None
PK954,2022-02-17 10:22:42.162162162,3,Weather
PK365,2022-02-18 03:53:30.810810811,76,Weather
PK414,2022-02-18 21:24:19.459459459,32,Traffic Control
PK814,2022-02-19 14:55:08.108108108,8,Weather
PK140,2022-02-20 08:25:56.756756756,65,Crew
PK204,2022-02-21 01:56:45.405405405,0,Weather
PK989,2022-02-21 19:27:34.054054054,98,Mechanical Issue
PK292,2022-02-22 12:58:22.702702703,14,Traffic Control
PK500,2022-02-23 06:29:11.351351351,0,Crew
PK377,2022-02-24 00:00:00.000000000,87,None
PK453,2022-02-24 17:30:48.648648649,4,None
PK848,2022-02-25 11:01:37.297297297,29,Traffic Control
PK832,2022-02-26 04:32:25.945945946,45,Crew
PK679,2022-02-26 22:03:14.594594595,61,Weather
PK808,2022-02-27 15:34:03.243243243,30,Mechanical Issue
PK355,2022-02-28 09:04:51.891891892,0,Weather
PK750,2022-03-01 02:35:40.540540541,28,None
PK923,2022-03-01 20:06:29.189189189,5,Weather
PK760,2022-03-02 13:37:17.837837838,29,Mechanical Issue
PK198,2022-03-03 07:08:06.486486486,77,Weather
PK687,2022-03-04 00:38:55.135135135,46,Traffic Control
